question_id,rodadas_executadas,status_final
26,2,APROVADO
22,3,APROVADO
32,2,APROVADO
2,4,LIMITE_RODADAS_ATINGIDO
36,4,LIMITE_RODADAS_ATINGIDO
39,4,LIMITE_RODADAS_ATINGIDO
37,4,LIMITE_RODADAS_ATINGIDO
63,3,APROVADO
56,4,LIMITE_RODADAS_ATINGIDO
62,4,LIMITE_RODADAS_ATINGIDO
66,4,LIMITE_RODADAS_ATINGIDO
69,4,APROVADO
74,4,LIMITE_RODADAS_ATINGIDO
78,4,LIMITE_RODADAS_ATINGIDO
86,2,APROVADO
85,4,LIMITE_RODADAS_ATINGIDO
93,4,APROVADO
106,4,LIMITE_RODADAS_ATINGIDO
98,4,LIMITE_RODADAS_ATINGIDO
117,4,LIMITE_RODADAS_ATINGIDO
109,4,LIMITE_RODADAS_ATINGIDO
122,2,APROVADO
118,4,LIMITE_RODADAS_ATINGIDO
123,4,LIMITE_RODADAS_ATINGIDO
131,4,LIMITE_RODADAS_ATINGIDO
132,4,LIMITE_RODADAS_ATINGIDO
151,2,APROVADO
141,4,LIMITE_RODADAS_ATINGIDO
160,4,LIMITE_RODADAS_ATINGIDO
167,2,APROVADO
165,4,LIMITE_RODADAS_ATINGIDO
171,2,APROVADO
184,4,LIMITE_RODADAS_ATINGIDO
224,3,APROVADO
186,4,LIMITE_RODADAS_ATINGIDO
227,3,APROVADO
229,2,APROVADO
238,2,APROVADO
228,4,LIMITE_RODADAS_ATINGIDO
251,2,APROVADO
252,2,APROVADO
241,4,LIMITE_RODADAS_ATINGIDO
260,3,APROVADO
288,4,LIMITE_RODADAS_ATINGIDO
289,4,LIMITE_RODADAS_ATINGIDO
312,4,LIMITE_RODADAS_ATINGIDO
322,4,LIMITE_RODADAS_ATINGIDO
327,4,LIMITE_RODADAS_ATINGIDO
331,4,LIMITE_RODADAS_ATINGIDO
334,4,LIMITE_RODADAS_ATINGIDO
343,3,APROVADO
362,2,APROVADO
356,4,APROVADO
360,4,LIMITE_RODADAS_ATINGIDO
364,2,APROVADO
405,3,APROVADO
374,4,LIMITE_RODADAS_ATINGIDO
418,3,APROVADO
457,3,APROVADO
438,4,LIMITE_RODADAS_ATINGIDO
470,4,LIMITE_RODADAS_ATINGIDO
483,3,APROVADO
503,2,APROVADO
489,4,LIMITE_RODADAS_ATINGIDO
500,4,LIMITE_RODADAS_ATINGIDO
512,4,LIMITE_RODADAS_ATINGIDO
519,4,LIMITE_RODADAS_ATINGIDO
536,3,APROVADO
526,4,LIMITE_RODADAS_ATINGIDO
540,4,LIMITE_RODADAS_ATINGIDO
567,3,APROVADO
568,4,LIMITE_RODADAS_ATINGIDO
601,2,APROVADO
589,4,LIMITE_RODADAS_ATINGIDO
591,4,LIMITE_RODADAS_ATINGIDO
615,4,LIMITE_RODADAS_ATINGIDO
620,4,LIMITE_RODADAS_ATINGIDO
623,4,LIMITE_RODADAS_ATINGIDO
645,4,LIMITE_RODADAS_ATINGIDO
651,4,LIMITE_RODADAS_ATINGIDO
669,4,LIMITE_RODADAS_ATINGIDO
670,4,LIMITE_RODADAS_ATINGIDO
690,4,LIMITE_RODADAS_ATINGIDO
700,4,APROVADO
704,3,APROVADO
729,2,APROVADO
743,2,APROVADO
707,4,APROVADO
767,2,APROVADO
753,3,APROVADO
777,4,LIMITE_RODADAS_ATINGIDO
787,4,LIMITE_RODADAS_ATINGIDO
792,4,LIMITE_RODADAS_ATINGIDO
808,2,APROVADO
794,4,APROVADO
818,2,APROVADO
801,4,APROVADO
840,2,APROVADO
844,2,APROVADO
827,4,LIMITE_RODADAS_ATINGIDO
