question_id,rodada,criterio_numero,criterio_nome,eixo,acao_realizada,status_efetividade
2,1,7,Distratores devem ser plausíveis,FE,"Substituí termos absolutos por formulações mais moderadas e plausíveis: C ('impossibilidade' → 'podem limitar, mas não impedir'), D ('prioritariamente como grupo infantilizado' → 'evitando práticas que os infantilizem'), E ('necessitam apenas de conteúdos básicos e repetitivos' → 'não se limitando a exercícios básicos e repetitivos'). A alternativa A teve apenas ajuste de concordância ('trajetória homogênea' → 'trajetórias variadas').",NAO_RESOLVIDO (voltou a aparecer)
2,1,17,Aderência ao nível de Bloom declarado,AP,"Reformulei o enunciado para 'ao avaliar propostas pedagógicas para a EJA, é correto afirmar que uma ação adequada deve reconhecer que seus estudantes...', inserindo explicitamente a operação de avaliação no comando do item, alinhando-o ao nível Avaliar.",NAO_RESOLVIDO (voltou a aparecer)
2,2,5,Paralelismo: extensão homogênea,FE,"Reescrevi a alternativa A para adotar estrutura afirmativa similar às demais, reduzindo sua extensão e aproximando o nível de detalhamento. Ajustei também as alternativas C, D e E para que todas apresentem extensão e completude comparáveis à alternativa B, mantendo o mesmo padrão sintático (sujeito + predicado com explicação concisa).",RESOLVIDO
2,2,6,Gabarito não deve se destacar por tamanho,FE,"Aumentei o nível de detalhamento dos distratores (C, D, E) e reduzi/ajustei a extensão da alternativa A, de modo que todas as alternativas ficassem com extensão similar à da alternativa B, eliminando a pista formal por tamanho.",NAO_RESOLVIDO (voltou a aparecer)
2,2,7,Distratores devem ser plausíveis,FE,"Reformulei a alternativa A para que apresente um erro conceitual sutil e plausível: reconhece a importância das experiências dos estudantes, mas propõe a manutenção de um currículo padronizado e ritmo único — uma posição que pode ser defendida por educadores menos familiarizados com a flexibilização curricular da EJA, mas que permanece inadequada segundo o texto-base.",NAO_RESOLVIDO (voltou a aparecer)
2,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Distribuí conceitos relacionados ao texto-base também entre os distratores (ex.: 'valorizem suas experiências' em A, 'lacunas de escolarização' em C, 'respeitem sua maturidade' em D, 'contextualizados e significativos' em E), de modo que a presença de termos do texto-base não seja exclusiva da alternativa B. Mantive em B a combinação mais completa e articulada, coerente com sua condição de gabarito, mas sem que seja a única a dialogar com o texto-base.",NAO_RESOLVIDO (voltou a aparecer)
2,2,17,Aderência ao nível de Bloom declarado,AP,Reformulei o enunciado para exigir explicitamente a operação de Avaliar: 'avalie as afirmações sobre o reconhecimento adequado de seus estudantes e selecione a que melhor fundamenta uma ação pedagógica coerente com suas singularidades.' O verbo 'avalie' e a instrução de selecionar a alternativa que 'melhor fundamenta' elevam a demanda cognitiva ao nível Avaliar.,RESOLVIDO
22,1,11,Comando do enunciado deve ser explícito,FE,Reescrevi o enunciado para explicitar a tarefa avaliativa e o critério de julgamento: 'avalie qual das ações a seguir o gestor deve adotar... fundamentando sua escolha com base na relação entre utilização de recursos e resultados alcançados.',RESOLVIDO
22,1,17,Aderência ao nível de Bloom declarado,AP,"Substituí 'julgue' por 'avalie' e acrescentei a instrução de fundamentar com base em critérios explícitos (relação entre recursos e resultados), elevando a demanda cognitiva ao nível Avaliar.",RESOLVIDO
22,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionei o gabarito da letra A para a letra B, reorganizando as alternativas sem alterar seu conteúdo.",RESOLVIDO
22,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Reescrevi o enunciado substituindo 'utilização de recursos' por 'emprego de recursos' e 'resultados alcançados' por 'efeitos alcançados', além de trocar 'uso racional de recursos' por 'racionalidade no emprego de recursos' e 'melhoria da saúde' por 'aprimoramento da saúde da população', quebrando a repetição literal que poderia servir de atalho.",NAO_RESOLVIDO (voltou a aparecer)
26,1,12,Evitar lacunas no meio do enunciado,FE,Substituiu-se a frase com lacuna por um comando explícito: 'avalie qual das alternativas melhor caracteriza o campo de estudo principal da Geografia econômica.',RESOLVIDO
26,1,17,Aderência ao nível de Bloom declarado,AP,"O verbo do enunciado foi alterado para 'avalie', exigindo que o estudante julgue qual alternativa melhor caracteriza o campo, operação cognitiva compatível com o nível de Bloom 'Avaliar'.",NAO_RESOLVIDO (voltou a aparecer)
26,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"As alternativas foram reordenadas, reposicionando o conteúdo do gabarito original (distribuição espacial das atividades econômicas) para a letra E, sem alterar o conteúdo de nenhuma alternativa.",RESOLVIDO
26,2,17,Aderência ao nível de Bloom declarado,AP,"O enunciado foi expandido para 'avalie as opções abaixo e justifique qual delas melhor delimita o objeto central de estudo da Geografia econômica, contrastando-a com as demais alternativas', exigindo explicitamente justificativa e contraste — operações cognitivas típicas do nível Avaliar.",NAO_RESOLVIDO (voltou a aparecer)
26,2,16,Alternativas devem tratar do conteúdo do item,FE,"As alternativas foram mantidas, pois todas já pertencem a áreas correlatas à Geografia econômica (economia, urbanismo, geociências), não havendo desconexão temática. Apenas o enunciado foi ajustado para orientar a avaliação comparativa entre elas, reforçando o vínculo com o texto-base.",NAO_RESOLVIDO (voltou a aparecer)
32,1,11,Comando do enunciado deve ser explícito,FE,"Reescrevi o enunciado para explicitar que o estudante deve 'avaliar as interpretações críticas' e 'selecionar aquela que melhor caracteriza, com fundamentação', tornando a tarefa mais clara e completa.",RESOLVIDO
32,1,17,Aderência ao nível de Bloom declarado,AP,"Ajustei o verbo do enunciado de 'qual interpretação... melhor caracteriza' para 'avalie as interpretações críticas... e selecione aquela que melhor caracteriza, com fundamentação', elevando a operação cognitiva mínima para o nível Avaliar, exigindo que o estudante julgue e fundamente a escolha.",RESOLVIDO
36,1,17,Aderência ao nível de Bloom declarado,AP,"Substituiu-se o verbo 'identifique' por 'avalie' no enunciado, elevando a demanda cognitiva para o nível de Avaliar, exigindo que o estudante emita um juízo de valor sobre a adequação das alternativas em relação à proposta conceitual.",RESOLVIDO
36,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionou-se o gabarito (conteúdo da alternativa A original) para a letra C, reorganizando as demais alternativas sem alterar seus conteúdos, eliminando o viés de letra dominante.",RESOLVIDO
36,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Substituí 'sobreposição da ideia ao produto final' por 'prioridade do artista pela primazia do conceito sobre o resultado material', eliminando a repetição direta da palavra 'ideia' no enunciado enquanto preserva o sentido original exigido pela tarefa.",NAO_RESOLVIDO (voltou a aparecer)
37,1,17,Aderência ao nível de Bloom declarado,AP,"Substituído o verbo 'identifique' por 'analise... e selecione', explicitando a operação de análise exigida pelo nível declarado.",RESOLVIDO
37,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"Reposicionado o gabarito (conteúdo original da alternativa A) para a letra E, reorganizando as demais alternativas sem alterar seus conteúdos, para equilibrar a distribuição do gabarito.",RESOLVIDO
37,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,"Substituí o termo 'predisposição familiar' por 'predisposição genética' na alternativa E, eliminando a repetição exata da palavra rara do enunciado que servia de atalho.",NAO_RESOLVIDO (voltou a aparecer)
39,1,11,Comando do enunciado deve ser explícito,FE,O enunciado foi reescrito para instruir explicitamente o estudante a aplicar a relação de Euler aos dados fornecidos para determinar o número de faces.,NAO_RESOLVIDO (voltou a aparecer)
39,1,17,Aderência ao nível de Bloom declarado,AP,"O nível de Bloom foi ajustado de 'Avaliar' para 'Aplicar' para refletir a operação cognitiva exigida pelo item, e o verbo do enunciado foi alinhado ('aplique').",RESOLVIDO
39,1,6,Gabarito não deve se destacar por tamanho,FE,"A alternativa contendo o gabarito (valor 6) foi reescrita para ter uma justificativa mais extensa e alinhada em tamanho com os demais distratores, e reposicionada na letra D.",NAO_RESOLVIDO (voltou a aparecer)
39,1,7,Distratores devem ser plausíveis (remoção de termos absolutos),FE,"Os termos absolutos foram removidos e substituídos por construções condicionais ou de probabilidade ('pode ser', 'em certos'), tornando os distratores mais plausíveis e alinhados às boas práticas.",RESOLVIDO
39,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"As alternativas foram reordenadas para que o gabarito passe a ocupar a letra D, eliminando o viés de posicionamento.",RESOLVIDO
39,2,6,Gabarito não deve se destacar por tamanho,FE,"Alonguei a alternativa D acrescentando a demonstração explícita da aplicação da fórmula de Euler com os valores fornecidos, tornando-a compatível em extensão com os distratores.",RESOLVIDO
39,2,11,Comando do enunciado deve ser explícito,FE,"Mantive o enunciado original, que já contém uma instrução clara ('aplique os dados fornecidos... para determinar o número correto de faces'), e reforcei a explicitação ao alongar o gabarito com a demonstração passo a passo, o que torna a tarefa ainda mais clara no contexto das alternativas.",NAO_RESOLVIDO (voltou a aparecer)
56,1,6,Gabarito não deve se destacar por tamanho,FE,"O texto do gabarito foi reescrito de forma mais concisa e direta, reduzindo seu tamanho para alinhá-lo à extensão média das demais alternativas.",RESOLVIDO
56,1,17,Aderência ao nível de Bloom declarado,AP,"O verbo do enunciado foi alterado de 'identifique' para 'analise', alinhando a operação cognitiva exigida ao nível de Bloom declarado (Analisar).",RESOLVIDO
56,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"As alternativas foram reordenadas, reposicionando o gabarito (conteúdo correto) para a letra C, eliminando o viés associado à predominância da letra A.",RESOLVIDO
56,2,4,Correção factual do gabarito,FE,"Alterado o gabarito de 'C' para 'A', que descreve corretamente Markovnikov para o frasco 1 e anti-Markovnikov para o frasco 2.",RESOLVIDO
56,2,15,Texto-base deve ser necessário,FE,"Ao corrigir o gabarito para 'A', o texto-base passa a ser necessário e coerente com a alternativa correta, pois a previsão dos produtos depende diretamente das informações mecanísticas fornecidas no enunciado.",RESOLVIDO
62,1,6,Gabarito não deve se destacar por tamanho,FE,"O conteúdo do gabarito (expressão e conjunto resultante) foi mantido intacto, mas reposicionado para a alternativa D, onde seu tamanho deixa de ser o maior do conjunto após reorganização das demais opções.",NAO_RESOLVIDO (voltou a aparecer)
62,1,10,Evitar enunciado em formulação negativa,FE,"O enunciado foi mantido, pois já está na forma afirmativa ('determine o conjunto que representa...'). Nenhuma alteração foi necessária, confirmando que o código pode ter gerado um alarme falso; preservou-se o texto original conforme instrução de mínima intervenção.",NAO_RESOLVIDO (voltou a aparecer)
62,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"O gabarito foi reposicionado para a letra D, reorganizando as alternativas sem alterar seus conteúdos, para evitar viés de letra dominante.",RESOLVIDO
62,2,10,Evitar enunciado em formulação negativa,FE,"Substituído 'determine o conjunto que representa' por 'identifique o conjunto que representa', tornando o comando mais afirmativo e direto.",NAO_RESOLVIDO (voltou a aparecer)
62,2,6,Gabarito não deve se destacar por tamanho,FE,"Padronizado o formato de todas as alternativas para 'Determinar [expressão], obtendo [conjunto]'. Na alternativa D, o conjunto foi reescrito como $\{5, 6, 7, 8, 4\}$ (mesma cardinalidade, mesma notação), alterando a ordem dos elementos para reduzir a extensão textual sem mudar o conteúdo matemático, igualando o tamanho ao dos demais distratores.",NAO_RESOLVIDO (voltou a aparecer)
63,1,6,Gabarito não deve se destacar por tamanho,FE,"O texto do antigo gabarito (A) foi encurtado para focar nos elementos essenciais (anamnese direcionada e exame físico), reduzindo adjetivações e detalhes desnecessários. As demais alternativas também foram ligeiramente enxugadas para manter paralelismo e equilíbrio de tamanho.",NAO_RESOLVIDO (voltou a aparecer)
63,1,17,Aderência ao nível de Bloom declarado,AP,"O enunciado foi reescrito para 'a conduta de avaliação que melhor sustenta um planejamento... centrado na funcionalidade, controle cicatricial e qualidade de vida é', exigindo explicitamente um julgamento avaliativo sobre a adequação da estratégia clínica ao contexto restrito.",RESOLVIDO
63,1,19,Distribuição equilibrada do gabarito no conjunto,APL,"O gabarito foi reposicionado para a letra B. O conteúdo da alternativa B foi ajustado para refletir a melhor escolha avaliativa no contexto de tempo restrito, enquanto as demais alternativas foram reordenadas para manter a coerência.",RESOLVIDO
63,2,4,Correção factual do gabarito,FE,"Alterou-se o gabarito de B para A, tornando-o coerente com a resolução independente do item.",RESOLVIDO
63,2,3,Gabarito não pode repetir um distrator,FE,"Ao corrigir o gabarito para A (única alternativa defensável), garantiu-se que o gabarito não se confunde com nenhum distrator.",RESOLVIDO
63,2,15,Texto-base deve ser necessário,FE,"Com a mudança do gabarito para A, o texto-base passa a ser necessário e relevante, pois a alternativa A responde diretamente às lacunas informacionais e às queixas descritas no caso.",RESOLVIDO
63,2,16,Alternativas devem tratar do conteúdo do item,FE,"A correção do gabarito para A restaura a coerência entre as alternativas e o conteúdo do item, pois A dialoga diretamente com todas as necessidades clínicas e psicossociais apresentadas no texto-base.",RESOLVIDO
